CustomerID	WorkOrderID	VehicleID	OrderDate	OrderServiceType	OrderIssueDesc	OrderParts	OrderPartsCost	OrderPartsMarkup	OrderHoursSpent	OrderShopRate	OrderPartsEstimate	OrderHoursEstimate	OrderWhichVehicle	OrderResolution	OrderDiscounts	MilesOnVehicle
1	1	1	4/12/2025	Fleet Services	Fleet unit overdue for DOT compliance check.	Fleet fluid replacement and standard brake pads	265.19	32.97%	4.3	120	291.71	4.8	Kathy's Truck	Fleet Services service completed successfully.	27.67	28136
1	2	1	11/10/2023	Diagnostics	Customer noticed sluggish acceleration and increased fuel usage.	Full diagnostic scan and wiring harness testing	125.54	50.89%	2.7	120	138.09	3.2	Kathy's Truck	Diagnostics service completed successfully.	16.13	29663
2	3	2	5/2/2025	Safety	Seatbelt buckle occasionally fails to lock.	Brake sensor harness and warning light tool	292.67	58.40%	1.5	120	321.94	2	Christopher's Van	Safety service completed successfully.	22.21	73435
2	4	2	12/29/2023	Diagnostics	Customer noticed sluggish acceleration and increased fuel usage.	Full diagnostic scan and wiring harness testing	118.22	28.67%	1.2	120	130.04	1.7	Christopher's Van	Diagnostics service completed successfully.	23.88	76022
2	5	2	8/12/2023	Battery/Electrical	Car fails to start intermittently; suspected battery issue.	Starter relay and alternator belt	144.98	52.67%	2.9	120	159.48	3.4	Christopher's Van	Battery/Electrical service completed successfully.	6.9	77509
2	6	3	10/15/2024	Maintenance	Generic Maintenance entry.	Generic Maintenance entry.	197.54	41.69%	3.1	120	217.29	3.6	Christopher's Van	Maintenance service completed successfully.	16.67	21371
2	7	3	2/5/2024	Safety	Seatbelt buckle occasionally fails to lock.	OEM safety inspection kit	452.84	31.16%	2.4	120	498.12	2.9	Christopher's Van	Safety service completed successfully.	26.33	22639
2	8	3	12/26/2023	Custom/Accessory Install	Generic Custom/Accessory Install entry.	Generic Custom/Accessory Install entry.	58.99	59.93%	3.6	120	64.89	4.1	Christopher's Van	Custom/Accessory Install service completed successfully.	11.34	23144
3	9	4	4/9/2024	Glass/Windshield	Generic Glass/Windshield entry.	Generic Glass/Windshield entry.	166.77	28.30%	3.2	120	183.45	3.7	Nicole's Car	Glass/Windshield service completed successfully.	3.42	35916
3	10	4	4/22/2024	Diagnostics	Customer noticed sluggish acceleration and increased fuel usage.	OBD-II scanner and engine compression test kit	447.93	32.46%	4.6	120	492.72	5.1	Nicole's Car	Diagnostics service completed successfully.	22.5	38676
3	11	4	2/19/2024	Glass/Windshield	Generic Glass/Windshield entry.	Generic Glass/Windshield entry.	305.11	54.45%	3.9	120	335.62	4.4	Nicole's Car	Glass/Windshield service completed successfully.	10.54	40785
4	12	5	3/2/2024	Performance Upgrades	Generic Performance Upgrades entry.	Generic Performance Upgrades entry.	429.72	37.77%	1.8	120	472.69	2.3	Laura's Truck	Performance Upgrades service completed successfully.	4.83	64756
4	13	5	11/18/2024	Battery/Electrical	Car fails to start intermittently; suspected battery issue.	Starter relay and alternator belt	54.87	28.21%	3.3	120	60.36	3.8	Laura's Truck	Battery/Electrical service completed successfully.	22.63	66654
5	14	6	5/9/2024	Pre-Purchase Inspection	Generic Pre-Purchase Inspection entry.	Generic Pre-Purchase Inspection entry.	328.14	26.10%	4.7	120	360.95	5.2	Patrick's Van	Pre-Purchase Inspection service completed successfully.	25.91	28252
5	15	6	11/8/2024	Brakes	Brake pedal feels soft; stopping distance increased.	Two-piece rotors and high-performance brake fluid	379.86	40.37%	4.5	120	417.85	5	Patrick's Van	Brakes service completed successfully.	23.8	31122
5	16	6	8/28/2023	Oil/Fluid	Transmission fluid shows signs of contamination.	Coolant flush system and antifreeze pack	401.7	41.69%	4.3	120	441.87	4.8	Patrick's Van	Oil/Fluid service completed successfully.	20.8	33351
5	17	7	9/11/2023	Interior/Upholstery	Generic Interior/Upholstery entry.	Generic Interior/Upholstery entry.	498.69	54.58%	3.2	120	548.56	3.7	Patrick's Car	Interior/Upholstery service completed successfully.	9.82	59853
6	18	8	9/7/2023	Suspension/Steering	Vehicle leans to one side when turning.	Tie rod ends and sway bar link replacements	108.66	45.89%	4.8	120	119.53	5.3	Elizabeth's Van	Suspension/Steering service completed successfully.	2.67	29361
6	19	8	10/19/2023	Suspension/Steering	Steering wheel vibrates at highway speeds.	Strut assembly and control arm kit	82.79	29.05%	3.1	120	91.07	3.6	Elizabeth's Van	Suspension/Steering service completed successfully.	25.08	30867
6	20	8	10/10/2024	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	267.39	38.61%	2.8	120	294.13	3.3	Elizabeth's Van	Seasonal Prep service completed successfully.	21.84	31902
7	21	9	4/28/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	419.18	38.60%	2.4	120	461.1	2.9	Danielle's Van	Miscellaneous/Other service completed successfully.	14.72	10814
7	22	9	1/4/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	478.61	59.65%	1.8	120	526.47	2.3	Danielle's Van	Miscellaneous/Other service completed successfully.	0.74	12216
7	23	9	2/29/2024	Diagnostics	Customer noticed sluggish acceleration and increased fuel usage.	Full diagnostic scan and wiring harness testing	396.22	53.07%	1.8	120	435.84	2.3	Danielle's Van	Diagnostics service completed successfully.	10.87	14107
8	24	10	9/18/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	278.08	38.18%	4.4	120	305.89	4.9	Leah's Car	Miscellaneous/Other service completed successfully.	22.85	32710
8	25	10	1/30/2025	Roadside Assistance	Generic Roadside Assistance entry.	Generic Roadside Assistance entry.	309.77	26.60%	4.8	120	340.75	5.3	Leah's Car	Roadside Assistance service completed successfully.	15.8	33871
8	26	10	12/10/2024	Maintenance	Generic Maintenance entry.	Generic Maintenance entry.	408.82	25.86%	4.5	120	449.7	5	Leah's Car	Maintenance service completed successfully.	6.59	34634
8	27	11	8/17/2024	Pre-Purchase Inspection	Generic Pre-Purchase Inspection entry.	Generic Pre-Purchase Inspection entry.	384.81	39.11%	2.4	120	423.29	2.9	Leah's Truck	Pre-Purchase Inspection service completed successfully.	15.19	23960
9	28	12	2/3/2025	Suspension/Steering	Clunking noise from front end over bumps.	Tie rod ends and sway bar link replacements	457.64	46.28%	1.9	120	503.4	2.4	Daniel's Car	Suspension/Steering service completed successfully.	28.2	64438
9	29	12	5/25/2024	Repair	Rear window motor not functioning properly.	Replacement exhaust pipe and hangers	450.48	46.10%	1.3	120	495.53	1.8	Daniel's Car	Repair service completed successfully.	26.37	65062
9	30	12	5/19/2025	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	216.9	58.59%	3.7	120	238.59	4.2	Daniel's Car	Miscellaneous/Other service completed successfully.	29.16	65854
