CustomerID	WorkOrderID	PaymentID	PaymentListString	PaymentDate	PaymentType	PaymentAmount
1	1	1	3/30/2025 - AmericanExpress - $770.42	3/30/2025	AmericanExpress	770.42
1	2	2	4/17/2025 - Debit - $293.99	4/17/2025	Debit	293.99
1	3	3	8/31/2022 - Check - $477.95	8/31/2022	Check	477.95
1	4	4	3/2/2024 - Cash - $567.97	3/2/2024	Cash	567.97
1	4	5	2/23/2025 - Visa - $527.22	2/23/2025	Visa	527.22
1	5	6	1/12/2025 - Discover - $470.04	1/12/2025	Discover	470.04
1	6	7	3/12/2025 - Check - $712.06	3/12/2025	Check	712.06
1	6	8	4/30/2025 - Cash - $537.35	4/30/2025	Cash	537.35
1	7	9	10/27/2024 - MasterCard - $55.55	10/27/2024	MasterCard	55.55
1	7	10	11/8/2024 - AmericanExpress - $147.71	11/8/2024	AmericanExpress	147.71
1	8	11	7/3/2025 - Cash - $640.98	7/3/2025	Cash	640.98
1	8	12	6/21/2025 - Discover - $322.34	6/21/2025	Discover	322.34
1	9	13	1/15/2025 - AmericanExpress - $531.70	1/15/2025	AmericanExpress	531.7
1	9	14	6/7/2025 - Visa - $138.35	6/7/2025	Visa	138.35
1	10	15	4/14/2025 - AmericanExpress - $577.07	4/14/2025	AmericanExpress	577.07
2	11	16	8/1/2024 - AmericanExpress - $682.30	8/1/2024	AmericanExpress	682.3
2	12	17	5/1/2025 - Visa - $215.29	5/1/2025	Visa	215.29
2	13	18	6/6/2024 - MasterCard - $556.53	6/6/2024	MasterCard	556.53
2	13	19	8/27/2024 - MasterCard - $106.25	8/27/2024	MasterCard	106.25
2	14	20	1/26/2025 - AmericanExpress - $238.26	1/26/2025	AmericanExpress	238.26
3	15	21	3/23/2025 - Visa - $61.65	3/23/2025	Visa	61.65
3	15	22	3/25/2025 - Visa - $487.89	3/25/2025	Visa	487.89
3	16	23	3/7/2025 - AmericanExpress - $497.91	3/7/2025	AmericanExpress	497.91
3	16	24	5/24/2025 - Visa - $187.45	5/24/2025	Visa	187.45
3	17	25	7/3/2025 - Cash - $108.90	7/3/2025	Cash	108.9
3	17	26	11/21/2024 - Discover - $505.14	11/21/2024	Discover	505.14
3	18	27	3/21/2024 - Check - $347.73	3/21/2024	Check	347.73
3	18	28	2/3/2025 - MasterCard - $776.17	2/3/2025	MasterCard	776.17
